(carboplatin)||carboplatin
unspecified levodopa-based therapy||levodopa
levofloxacin tablets 500mg||levofloxacin
levofloxacin tablets 750 mg||levofloxacin
blinded *aspirin||acetylsalicylic acid
levofloxacin tablets 750mg||levofloxacin
unspecified multivitamin||cholecalciferol
phosphocreatine sodium||phosphocreatine
entecavir 0.5mg tab (x30)||entecavir
levofloxacina||levofloxacin
levofloxacine [levofloxacin]||levofloxacin
entecavir hydrate||entecavir
levofloxacine arrow||levofloxacin
levofloxacino (2791a)||levofloxacin
entecavir tab 0.5mg||entecavir
blinded aliskiren||aliskiren
blinded allopurinol||allopurinol
unspecified thyroid medication||levothyroxine
blinded apixaban||apixaban
levofolinate [calcium levofolinate]||calcium
blinded aspirin||acetylsalicylic acid
levofolinate calcium||calcium
levofolinate de calcium||calcium
urapidil hydrochloride||urapidil
blinded carboplatin||carboplatin
blinded celecoxib||celecoxib
levomepromazine maleate||methotrimeprazine
urbason [methylprednisolone]||methylprednisolone
levonorgestrel (unspecified)||levonorgestrel
blinded cilostazol||cilostazol
blinded dabigatran||dabigatran
levonorgestrel - bp||levonorgestrel
blinded dabrafenib||dabrafenib
levonorgestrel ius [unknown]||levonorgestrel
blinded eltrombopag||eltrombopag
levonorgestrel unk||levonorgestrel
blinded enalapril||enalapril
blinded enzalutamide||enzalutamide
blinded febuxostat||febuxostat
levora-28||levonorgestrel
blinded glasdegib||glasdegib
blinded ibuprofen||ibuprofen
blinded idelalisib||idelalisib
uromitexan 400 mg||coenzyme m
blinded ixazomib||ixazomib
levothyrox (levothyroxine sodium)||levothyroxine
picato gel||ingenol mebutate
blinded linagliptin||linagliptin
blinded naproxen||naproxen
pico-salax (not specified)||picosulfuric acid
eperisone hydrochloride||eperisone
levothyroxin-natrium||levothyroxine
ursodeoxycholic acid - bp||ursodeoxycholic acid
levothyroxin?natrium||levothyroxine
picosulfate na||picosulfuric acid
blinded no treatment received||pyrithione
blinded olaparib||olaparib
ursodeoxycholic acid unk||ursodeoxycholic acid
levothyroxine (levothyroxine sodium)||levothyroxine
ephedrine hydrochloride||ephedrine
pilocarpine hcl||pilocarpine
levothyroxine (levothyroxine sodium) (levothyroxine sodium)||levothyroxine
blinded paclitaxel||paclitaxel
levothyroxine (levothyroxine)||levothyroxine
levothyroxine (unknown)||levothyroxine
pilsicainide hydrochloride||pilsicainide
levothyroxine [levothyroxine sodium]||levothyroxine
levothyroxine na||levothyroxine
epi-pen (epinephrine hydrochloride)||epinephrine
pinaverium bromide||pinaverium
levothyroxine sodique||levothyroxine
levothyroxine sodium (levothyroxine sodium)||levothyroxine
levothyroxine sodium tablets||levothyroxine
pioglitazone (pioglitazone)||pioglitazone
blinded probucol||probucol
levothyroxinum natricum||levothyroxine
pioglitazone (unknown)||pioglitazone
blinded ramipril||ramipril
vagifem ld||estradiol
blinded rivaroxaban||rivaroxaban
valaciclovir hydrochloride||valaciclovir
valacyclovir (valaciclovir hydrochloride)||valaciclovir
epinephrine [epinephrine hydrochloride]||epinephrine
piperacillin sodium||piperacillin
valacyclovir [valaciclovir hydrochloride]||valaciclovir
epinephrine hcl||epinephrine
blinded tolvaptan||tolvaptan
valacyclovir hcl||valaciclovir
blinded trametinib||trametinib
epinephrine hydrochloride||epinephrine
valdorm (flurazepam hydrochloride)||flurazepam
levoxyl (levothyroxine sodium)||levothyroxine
blinded trilaciclib||trilaciclib
epinephrine injection usp auto-injector||epinephrine
blinded vilanterol trifenatate||vilanterol
lexapro (escitalopram oxalate)||escitalopram
epinephrine injection usp auto?injector||epinephrine
piperacilline||piperacillin
epipen (epinephrine)||epinephrine
epirubicin (epirubicin) (epirubicin)||epirubicin
valium (diazepam)||diazepam
pirarubicin hydrochloride||pirarubicin
liberty cycler||levomenthol
liberty cycler cassette||levomenthol
epirubicin (manufacturer unknown)||epirubicin
liberty cycler set||levomenthol
epirubicin (unknown)||epirubicin
epirubicin hcl||epirubicin
valproate de sodium||valproic acid
lidocaine (lidocaine)||epinephrine
pitavastatin ca||pitavastatin
lidocaine (manufacturer unknown)||epinephrine
valproate salt not specified||valproic acid
lidocaine 1%||epinephrine
valproate semisodium||valproic acid
lidocaine 2%||epinephrine
valproic acid (non-specific)||valproic acid
valproic acid (unknown)||valproic acid
valproic acid (valproic acid)||valproic acid
blu-u light (blu-u blue light photodynamic therapy illuminator)||hemoporfin
valproic acid unknown product||valproic acid
epoprostenol act||epoprostenol
valsartan (valsartan)||valsartan
valsartan 1 a pharma||valsartan
epoprostenol teva||epoprostenol
valsartan 160 mg||valsartan
valsartan 160mg||valsartan
valsartan 1a pharma||valsartan
valsartan 1a pharma plus||valsartan
valsartan 80mg||valsartan
valsartan comp||valsartan
plan b one?step||levonorgestrel
valsartan dura||valsartan
linaclotide - bp||linaclotide
valsartan film-coated tablet||valsartan
valsartan hexal||valsartan
valsartan hexal comp||valsartan
lincomycin hcl||lincomycin
plaquenil (hydroxychloroquine sulfate) (hydroxychloroquine sulfate)||hydroxychloroquine
valsartan mylan||valsartan
linezolid (manufacturer unknown)||linezolid
linezolide kabi||linezolid
valtrex (valaciclovir hydrochloride)||valaciclovir
linzess (linaclotide)||linaclotide
plaquenil s||hydroxychloroquine
plaquenil sulfate||hydroxychloroquine
linzess (linaclotide) (capsules)||linaclotide
boots paracetamol||acetaminophen
vancomycin (manufacturer unknown)||vancomycin
lioresal intratecal||baclofen
vancomycin (unknown)||vancomycin
lioresal intrathecal||baclofen
bortezomib (manufacturer unknown)||bortezomib
lioresal intrathecal (baclofen injection)||baclofen
vancomycin (vancomycin)||vancomycin
bortezomibe||bortezomib
ergocalciferol (ergocalciferol)||ergocalciferol
bosentan 125 mg tablets||bosentan
vancomycin hcl (watson laboratories)||vancomycin
eribulin mesilate||eribulin
liothyronine sod||liothyronine
bosentan 62.5 mg tablets||bosentan
eribulin mesylate||eribulin
bosentan tablet 32 mg ped us||bosentan
vancomycin hydrochloride (non-specific)||vancomycin
erlotinib tablet||erlotinib
vancomycin mylan||vancomycin
vancomycine [vancomycin]||vancomycin
vancomycine mylan||vancomycin
erythromycin (erythromycin)||erythromycin
erythromycin estolate||erythromycin
lipitor (atorvastatin)||atorvastatin
erythromycin ophthalmic ointment usp 0.5%||erythromycin
lipitor (atorvastatin) (unknown)||atorvastatin
varenicline tartrate||varenicline
erythromycine||erythromycin
plavix (clopidogrel bisulfate)||clopidogrel
liposomal cytarabine||cytarabine
plavix (clopidogrel bisulfate) (clopidogrel bisulfate)||clopidogrel
liposomal doxorubicin||doxorubicin
plavix (clopidogrel sulfate)||clopidogrel
liposomal doxorubicin hcl||doxorubicin
liposomal doxorubicin hydrochloride||doxorubicin
breo ellipta inh||fluticasone furoate
liposomal irinotecan||irinotecan
plavix (clopidogrel)||clopidogrel
escitalopram (escitalopram)||escitalopram
escitalopram accord||escitalopram
brimonidine tartrate (alc)||brimonidine
escitalopram oxalate - bp||escitalopram
escitalopram oxalate ? bp||escitalopram
escitalopram oxalate unk||escitalopram
escitalopram tablets usp 10mg||escitalopram
lisdexamfetamine dimesylate||lisdexamfetamine
bromfenac sodium||bromfenac
lisinopril (lisinopril 10mg tab)||lisinopril
lisinopril (lisinopril 20mg tab)||lisinopril
pms azithromycin||azithromycin
pms-clonazepam||clonazepam
lisinopril (lisinopril 40mg tab)||lisinopril
lisinopril (lisinopril)||lisinopril
lisinopril (lisinopril) (lisinopril)||lisinopril
pms-hydromorphone||hydromorphone
brotizolam od||brotizolam
lisinopril (lisinopril) (unknown)||lisinopril
lisinopril (unknown)||lisinopril
brufen [ibuprofen]||ibuprofen
lisinopril (watson laboratories)||lisinopril
vegamox ophthalmic solution 0.5%||minoxidil
lisinopril 10 mg||lisinopril
lisinopril 20 mg||lisinopril
btds patch||levomenthol
esomeprazol [esomeprazole]||esomeprazole
lisinopril [lisinopril dihydrate]||lisinopril
lisinopril accord||lisinopril
esomeprazole (esomeprazole)||esomeprazole
lisinopril dihydrate||lisinopril
lisinopril h||lisinopril
velcade (bortezomib)||bortezomib
lisinopril hctz||lisinopril
velcade (bortezomib) (unknown)||bortezomib
velcade (unknown)||bortezomib
budesonide (budesonide)||budesonide
lisinopril tablet||lisinopril
budesonide ec||budesonide
lisinopril tablets 10mg||lisinopril
lisinopril tablets 20mg||lisinopril
lisinopril tablets usp 10mg||lisinopril
lisinopril tablets usp 20mg||lisinopril
venetoclax (verum)||venetoclax
bumetanide (bumetanide)||bumetanide
lisinopril(lisinopril)||lisinopril
lisinopril-hctz||lisinopril
venlafaxine (unknown)||venlafaxine
venlafaxine (venlafaxine)||venlafaxine
bupivacaine (manufacturer unknown)||bupivacaine
venlafaxine 75mg||venlafaxine
bupivacaine intrathecal||bupivacaine
venlafaxine er||venlafaxine
bupivacaine mylan||bupivacaine
venlafaxine hcl||venlafaxine
buprenorphine (similar to nda 21-306)||buprenorphine
venlafaxine hydrochloride 37.5mg tablet||venlafaxine
buprenorphine (similar to nda 21?306)||buprenorphine
estrace vaginal||estradiol
listerine original||magnesium hydroxide
buprenorphine generic||buprenorphine
estradiol (estradiol) (gel)||estradiol
estradiol hemihydrate||estradiol
buprenorphine generic tab||buprenorphine
lithium (lithium)||lithium citrate
buprenorphine teva||buprenorphine
estradiol vaginal cream usp||estradiol
lithium (lithium) unknown||lithium citrate
estradiol vaginal inserts usp||estradiol
lithium apogepha||lithium citrate
poly iron||iron
lithium carb||lithium citrate
poly-iron||iron
polyene phosphatidylcholine||lecithin
polyethylene glycol [macrogol]||polyethylene glycol
litican [alizapride hydrochloride]||alizapride
buprenorphine transdermal system||buprenorphine
buprenorphine unspecified||buprenorphine
polymyxin b sulfate||polymyxin b
estrogen patch||levomenthol
polysaccharide iron||iron
lixiana od||edoxaban
lixiana od tablets||edoxaban
lixiana od tablets 30mg||edoxaban
bupropion (bupropion)||bupropion
lixiana od tablets 60mg||edoxaban
pomalyst (pomalidomide) (capsules)||pomalidomide
eszopiclone tablets||eszopiclone
bupropion er||bupropion
lixiana tablets||edoxaban
ventolin (albuterol sulfate)||salbutamol
ponatinib (ap24534) tablet||ponatinib
lixiana tablets 30mg||edoxaban
lixiana tablets 60mg||edoxaban
ventolin (albuterol)||salbutamol
ethambutol dihydrochloride||ethambutol
ventolin (salbutamol)||salbutamol
lmx (lidocaine)||epinephrine
ethambutol hcl||ethambutol
bupropion hcl||bupropion
lmx [lidocaine]||epinephrine
ventolin hfa aer||salbutamol
bupropion hcl er||bupropion
ventoline||salbutamol
bupropion hydrobromide||bupropion
ventoline [salbutamol sulfate]||salbutamol
bupropion hydrochloride (actavis laboratories fl)||bupropion
pot cl micro||chloroxylenol
ventoline [salbutamol]||salbutamol
etonogestrel implant- implanon next||etonogestrel
potassium (potassium)||potassium
bupropion hydrochloride (watson laboratories)||bupropion
etonogestrel implant- unknown||etonogestrel
potassium (potassium) (potassium)||potassium
bupropion hydrochloride tablet||bupropion
potassium (potassium) (unknown)||potassium
etoposide (etoposide)||etoposide
lochol (fluvastatin sodium)||fluvastatin
vepeside||etoposide
potassium (unspecified)||potassium
etoposide (manufacturer unknown)||etoposide
bupropion hydrochloride tablets||bupropion
potassium 99||potassium
etoposide (manufacturer unknown) (etoposide) (etoposide)||etoposide
potassium [potassium]||potassium
etoposide (unknown)||etoposide
potassium bromide||potassium
etoposide (vp-16)||etoposide
bupropion tablet||bupropion
etoposide cap 50mg||etoposide
verapamil (verapamil)||verapamil
etoposide mylan||etoposide
bupropione||bupropion
verapamil er||verapamil
etoposide teva||etoposide
verapamil hydrochloirde||verapamil
euflexxa||flutamide
potassium cl||potassium
potassium cl er||potassium
lomotil (united states)||diphenoxylate
eupressyl [urapidil]||urapidil
potassium cloride 40||potassium
eurax h||crotamiton
potassium er||potassium
busco ranitidine||ranitidine
potassium supplement||potassium
potassium supplements||potassium
buspar (buspirone hydrochloride)||buspirone
vesicare (solifenacin succinate)||solifenacin
busulfan injection (0517-0920-01)||busulfan
eurodin (estazolam)||estazolam
lopemin [loperamide hydrochloride]||loperamide
pradaxar||dabigatran etexilate
loperamide (loperamide)||loperamide
euthyrox n||levothyroxine
euthyrox nf||levothyroxine
lopressor (metoprolol tartrate)||metoprolol
pramipexole dihcl||pramipexole
pramipexole hydrochloride||pramipexole
eutirox (levothyroxine sodium)||levothyroxine
prasugrel hydrochloride||prasugrel
pravachol (pravastatin sodium)||pravastatin
eutirox 75 microgrammi compresse||chloroxylenol
evacal d3 chewable||bismuth subsalicylate
loratadine tablets||loratadine
pravastatin (pravastatin sodium)||pravastatin
pravastatin (pravastatin)||pravastatin
pravastatin na||pravastatin
pravastatin sodium (pravastatin sodium)||pravastatin
lorazepam (1864a)||lorazepam
pravastatin tablet||pravastatin
lorazepam (ativan)||lorazepam
pravastatine [pravastatin]||pravastatin
pravastatine sodique||pravastatin
byetta pen disposable||povidone-iodine
lorazepam (lorazepam)||lorazepam
vicks dayquil||levomenthol
lorazepam (lorazepam) (lorazepam)||lorazepam
vicodin (vicodin)||hydrocodone
bystolic (nebivolol hydrochloride)||nebivolol
lorazepam (unknown)||lorazepam
lorazepam (watson laboratories)||lorazepam
victoza (liraglutide) solution for injection||minoxidil
prazosin hcl||prazosin
lorazepam a||lorazepam
victrelis (boceprevir) capsule||boceprevir
lorazepam actavis||lorazepam
victrelis 200 mg||boceprevir
lorazepam tablets||lorazepam
cacit vitamin d3||cholecalciferol
lorazepam tablets usp||lorazepam
vigabatrin (tablet)||vigabatrin
cacit vitamine d3||vitamin d
vigantol [colecalciferol]||cholecalciferol
excedrin unknown||caffeine
prednisolon [prednisolone]||prednisolone
excedrine||caffeine
prednisolone (prednisolone)||prednisolone
cal-citrate plus vitamin d||cholecalciferol
prednisolone (unknown)||prednisolone
viibryd (vilazodone hydrochloride)||vilazodone
prednisolone sodium succinate||prednisolone
viibryd (vilazodone hydrochloride) (tablets)||vilazodone
prednisolone tablets 1^hoei^||prednisolone
viibryd (vilazodone)||vilazodone
prednisolone tablets 5mg||prednisolone
prednisolone unk||prednisolone
vilanterol trifenatate||vilanterol
vilazodone hydrochloride||vilazodone
lortab (united states)||hydrocodone
exemestane (exemestane)||exemestane
vildagliptine||vildagliptin
lortab (vicodin)||hydrocodone
vinblastine (manufacturer unknown)||vinblastine
prednisona (886a)||prednisone
vincristina sulfato||vincristine
prednisone (prednisone)||prednisone
vincristine (manufacturer unknown)||vincristine
exforge d||amlodipine
vincristine (sulfate de)||vincristine
prednisone (prednisone) (prednisone)||prednisone
prednisone (prednisone) (unknown)||prednisone
vincristine (unknown)||vincristine
exjade 500mg novartis||deferasirox
prednisone (unknown)||prednisone
vincristine (vincristine)||vincristine
prednisone (watson laboratories)||prednisone
vincristine (vincristine) (vincristine)||vincristine
prednisone 5mg||prednisone
vincristine hospira||vincristine
calcidose vitamine d||vitamin d
prednisone 5mg tab||prednisone
vincristine sulphate||vincristine
vincristine teva||vincristine
vindesine sulfate||vindesine
prednisone arrow||prednisone
prednisone mylan||prednisone
vinorelbine ditartrate||vinorelbine
losartan (losartan)||losartan
prednisone tablet||prednisone
external-prednisone||prednisone
prednisone tablets||prednisone
losartan (losartan) (losartan)||losartan
prednisone tablets 10mg||prednisone
prednisone tablets 5mg||prednisone
losartan (unknown)||losartan
calcioral d3||calcium
prednisone tablets usp||prednisone
losartan 100mg||losartan
prednisone teva||prednisone
losartan 25mg||losartan
calcipotriene cream 0.005%||calcipotriol
losartan 50mg||losartan
losartan film-coated tablets||losartan
predonine [prednisolone sodium succinate]||prednisolone
losartan k||losartan
pregabalin (pregabalin)||pregabalin
losartan pot||losartan
calcitrol [calcitriol]||calcitriol
pregabalin (unknown)||pregabalin
calcium (calcium)||calcium
pregabaline||pregabalin
losartan potasico||losartan
calcium (calcium) (calcium)||calcium
calcium (calcium) (unknown)||calcium
losartan potassique||losartan
vit d (ergocalciferol)||ergocalciferol
calcium (unspecified)||calcium
premarin (estrogens conjugated)||conjugated estrogens
calcium 500||calcium
ezetimibe tablets||ezetimibe
premarin cream||conjugated estrogens
vit e [tocopherol]||tocopherol
calcium [calcium]||calcium
calcium bicarbonate||calcium
prenatal dha||niacin
calcium carb||calcium
prenatal formula||niacin
prenatal vitamin||niacin
prenatal vitamins||niacin
prenatal vitamins [minerals nos;vitamins nos]||niacin
preparation h nos||phenylephrine
preparation h suppository||phenylephrine
losartan potasssium||losartan
losartan tablets||losartan
calcium d||calcium
calcium d3||calcium
calcium dobesilate||calcium
vitamin a [retinol]||vitamin a
calcium folinat||calcium
calcium gluc||calcium
famotidine (famotidine)||famotidine
famotidine (otc)||famotidine
famotidine d||famotidine
preservision lutein||lutein
losartana||losartan
famotidine dci||famotidine
losartana potassica||losartan
famotidine od||famotidine
famotidine otc||famotidine
calcium levofolinate||calcium
vitamin b (vitamin b complex)||flavin mononucleotide
fampridine (fampridine)||dalfampridine
prestarium [perindopril]||perindopril
prevacid (lansoprazole)||lansoprazole
prevacid 24hr 15mg||lansoprazole
calcium supplement||calcium
calcium supplements||calcium
calcium vit d||calcium
vitamin b complex nos||flavin mononucleotide
previscan (fluindione)||fluindione
vitamin b complex strong||flavin mononucleotide
previscan (pentoxifylline)||pentoxifylline
calciumcarbonaat||calcium
previscan [fluindione]||fluindione
calciumfolinat||calcium
lotrimin af||clotrimazole
felodipine (felodipine)||felodipine
calcort||silicon
prezistanaive||darunavir
calfina [alfacalcidol]||alfacalcidol
prialt (ziconotide) intrathecal infusion||ziconotide
prilosec (omeprazole)||omeprazole
prilosec (omeprazole) (omeprazole)||omeprazole
lovastatin (lovastatin)||lovastatin
vitamin b-12 (cyanocobalamin)||8-epi-cyanocobalamin
prilosec (omeprazole) (unknown)||omeprazole
fenofibrate (fenofibrate)||fenofibrate
lovenox (enoxaparin sodium)||enoxaparin
fenofibrate (fenofibrate) (fenofibrate)||fenofibrate
fenoterol hydrobromide||fenoterol
low dose aspirin ec||acetylsalicylic acid
pristiq (desvenlafaxine succinate)||desvenlafaxine
camostat mesilate||camostat
fentanyl (fentanyl)||fentanyl
fentanyl (fentanyl) (fentanyl)||fentanyl
low molecular weight heparin||heparin
fentanyl (manufacturer unknown)||fentanyl
low-dose aspirin||acetylsalicylic acid
fentanyl (unknown)||fentanyl
pritor plus||telmisartan
fentanyl intrathecal||fentanyl
vitamin b2 [riboflavin]||riboflavin
low-molecular-weight heparin (lmwh)||heparin
fentanyl mylan||fentanyl
vitamin b50||pantothenic acid
fentanyl unknown strength (watson laboratories)||fentanyl
vitamin b50 complex||pantothenic acid
loxapac [loxapine succinate]||loxapine
fentanyl-100 (watson laboratories)||fentanyl
vitamin b6 (pyridoxine hydrochloride)||pyridoxine
fentanyl-25 (watson laboratories)||fentanyl
loxapac [loxapine]||loxapine
fentanyl-50 (watson laboratories)||fentanyl
loxapine base||loxapine
fentanyl-75 (watson laboratories)||fentanyl
proactiv acne clearing body spray||salicylic acid
capecitabine (manufacturer unknown)||capecitabine
vitamin c (ascorbic acid)||ascorbic acid
capecitabine (unknown)||capecitabine
proactiv cleansing bar||benzethonium
vitamin c [ascorbic acid]||ascorbic acid
capecitabine 500 mg||capecitabine
capecitabine 500 mg teva||capecitabine
loxen (nicardipine hydrochloride)||nicardipine
vitamin c acid||ascorbic acid
capecitabine 500mg accord||capecitabine
vitamin c er||ascorbic acid
loxen [nicardipine hydrochloride]||nicardipine
capecitabine 500mg novadoz||capecitabine
vitamin c tr||ascorbic acid
capecitabine 500mg novadoz pharmaceuticals||capecitabine
capecitabine 500mg tab||capecitabine
capecitabine 500mg teva||capecitabine
vitamin d (colecalciferol)||cholecalciferol
capecitabine 500mg teva pharmaceuticals||capecitabine
proactiv gentle formula clarifying toner||salicylic acid
proactiv green tea moisturizer||allantoin
capecitabine film coated tablet||capecitabine
capecitabine tab||capecitabine
capecitabine tab 150mg||capecitabine
capecitabine tab 500 mg||capecitabine
loxonin (loxoprofen sodium)||loxoprofen
capecitabine tab 500 mg ber||capecitabine
proactiv md deep cleansing face wash||benzethonium
loxoprofen [loxoprofen sodium]||loxoprofen
capecitabine tab 500mg||capecitabine
proactiv oil free moisture spf 15||octocrylene
loxoprofen na||loxoprofen
proactiv redness relief serum||sodium phosphate, dibasic
vitamin d (unspecified)||cholecalciferol
loxoprofen sodium||loxoprofen
proactiv revitalizing toner||salicylic acid
vitamin d (vitamin d)||cholecalciferol
vitamin d 1000||cholecalciferol
carbamazepine (carbamazepine)||carbamazepine
proactiv the silver nano towel||silver
carbamazepine (carbamazepine) unknown||carbamazepine
vitamin d 2000||cholecalciferol
carbamazepine (unknown)||carbamazepine
proactiv?md deep cleansing face?wash||benzethonium
vitamin d 3||cholecalciferol
carbamazepine tablets usp 200 mg||carbamazepine
vitamin d [colecalciferol]||cholecalciferol
proair (albuterol sulfate)||salbutamol
carbazochrome sodium sulfonate||carbazochrome
carbazochrome sulfonate na||carbazochrome
lucrin (leuproreline)||leuprolide
proair hfa aer||salbutamol
ferrous fumarate (ferrous fumarate)||ferrous fumarate
vitamin d supplement||cholecalciferol
ferrous sodium citrate||sodium citrate
vitamin d-1000||cholecalciferol
ferrous sulfate (ferrous sulfate)||ferrous sulfate anhydrous
ferrous sulfate ec||ferrous sulfate anhydrous
vitamin d-400||cholecalciferol
ferrous sulphate [ferrous sulfate]||ferrous sulfate anhydrous
vitamin d1||cholecalciferol
vitamin d3 (colecalciferol)||cholecalciferol
carbolithium||lithium carbonate
carbomers||carbomer
vitamin d3 streuli||cholecalciferol
carboplatin (carboplatin)||carboplatin
fexofenadine 180 mg 571||fexofenadine
carboplatin (manufacturer unknown)||carboplatin
fexofenadine hcl  otc||fexofenadine
lumigan (bimatoprost)||bimatoprost
carboplatin (manufacturer unknown) (carboplatin) (carboplatin)||carboplatin
carboplatin (unknown)||carboplatin
lumigan 0.01%||bimatoprost
carboplatin (watson laboratories)||carboplatin
fiber choice||calcium polycarbophil
fiber gummies||calcium polycarbophil
lumigan? 0.01%||bimatoprost
carboplatin accord||carboplatin
procarbazine hydrochloride||procarbazine
fiber supplement||calcium polycarbophil
lumigan� 0.01%||bimatoprost
vitamin e complex||vitamin e
procardia (united states)||nifedipine
carboplatin hospira||carboplatin
procaterol hydrochloride||procaterol
carboplatin inj. 50mg ^nk^||carboplatin
vitamin e nos||vitamin e
carboplatin injection 50 mg ^nk^||carboplatin
carboplatin intravenous infusion||carboplatin
vitamin e-400||vitamin e
prochlorperazine (prochlorperazine)||prochlorperazine
carboplatin mylan||carboplatin
prochlorperazine malea||prochlorperazine
lunesta (eszopiclone)||eszopiclone
vitamin e\vitamins||vitamin e
carboplatin teva||carboplatin
carboplatine accord||carboplatin
carboplatine hospira||carboplatin
carboplatino (2323a)||carboplatin
vitamin k [phytomenadione]||phylloquinone
finasteride (finasteride)||finasteride
carboplatino teva||carboplatin
finasteride (unknown)||finasteride
lupron depot 11.25 mg||leuprolide
carboplatinum||carboplatin
vitamin k nos||phylloquinone
finasteride 5mg||finasteride
lupron depot 3.75 mg||leuprolide
procyclidine hcl||procyclidine
fingolimod hydrochloride||fingolimod
lupron depot 30 mg||leuprolide
procyclidine hydrochloride||procyclidine
lupron depot-ped (3 month)||leuprolide
cardioaspirin (acetylsalicylic acid)||acetylsalicylic acid
lustral||hydroquinone
progesterone capsules||progesterone
lutein [xantofyl]||lutein
progesterone unk||progesterone
fish oil omega 3||capsaicin
fish oil omega-3||omega-3 fatty acids
luteine||lutein
prograf (tacrolimus)||tacrolimus
prograft||tacrolimus
luteinizing hormone-releasing hormone||lutein
cardizem (diltiazem hydrochloride)||diltiazem
cardizem [diltiazem hydrochloride]||diltiazem
cardura (doxazosin mesilate)||doxazosin
luteran||levonorgestrel
carduran||doxazosin
carduran neo||doxazosin
lutetium (lu 177)||lutetium lu-177
carduran xl||doxazosin
carduraxl||doxazosin
flaxseed oil [linum usitatissimum oil]||linseed oil
flaxseed oil [linum usitatissimum seed oil]||linseed oil
luvion (canrenoic acid)||canrenoic acid
cariprazine hcl - bp||cariprazine
luvion (canrenone)||canrenone
carisoprodol (carisoprodol)||carisoprodol
flecaine lp||flecainide
promac (polaprezinc)||polaprezinc
carisoprodol tablets 350mg||carisoprodol
flector [diclofenac sodium]||diclofenac
promac [polaprezinc]||polaprezinc
luvion [canrenoic acid]||canrenoic acid
fleet nos||phenylephrine
vivelle?dot||estradiol
carmellose sodium||carboxymethylcellulose
fleet phospho-soda||phenylephrine
promazine hydrochloride||promazine
flexeril (cyclobenzaprine hydrochloride)||cyclobenzaprine
promethazine (promethazine)||promethazine
cartia [acetylsalicylic acid]||acetylsalicylic acid
lyrica (pregabalin)||pregabalin
voglibose od||voglibose
flintstones complete||chlorpheniramine
voltaren (diclofenac diethylammonium salt)||diclofenac
voltaren [diclofenac diethylamine]||diclofenac
voltaren [diclofenac]||diclofenac
voltaren forte||diclofenac
carvedilol (carvedilol)||carvedilol
carvedilol (coreg)||carvedilol
voltaren gel||diclofenac
voltaren resinat||diclofenac
carvedilol (unknown)||carvedilol
voltaren sup||diclofenac
carvedilol film-coated tablets||carvedilol
voltarene||diclofenac
carvedilol hexal||carvedilol
propafenone hcl er||propafenone
voltarene (diclofenac sodium)||diclofenac
carvedilol tablet||carvedilol
carvedilol tablets||carvedilol
carvedilolo||carvedilol
flomax (tamsulosin hydrochloride)||tamsulosin
flomax (tamsulosin)||tamsulosin
vonoprazan fumarate||vonoprazan
flomax (united states)||tamsulosin
flomax ^boehringer ingelheim^||tamsulosin
flomax capsules||tamsulosin
vortioxetine hydrobromide||vortioxetine
caspofungine||caspofungin
flomaxtra||tamsulosin
votrient 200mg||pazopanib
cassia senna||sennosides
flomox [cefcapene pivoxil hydrochloride]||cefcapene
flonase (united states)||fluticasone propionate
propiverine hydrochloride||propiverine
catapres tts||clonidine
flonase algy||fluticasone propionate
propofol (manufacturer unknown)||propofol
catapresan||clonidine
catapresan tts||clonidine
propofol (propofol)||propofol
catapressan||clonidine
macrobid (nitrofurantoin)||nitrofurantoin
cathflo activase||triclosan
propofol 1% fresenius||propofol
macrobid (united states)||nitrofurantoin
propofol fresenius||propofol
vx-950 (telaprevir)||telaprevir
propofol fresenius (not specified)||propofol
macrogol stearate||polyethylene glycol
vyvanse (lisdexamfetamine dimesylate) capsule||lisdexamfetamine
propofol lipuro||propofol
wal zyr nos||cetirizine
propofol panpharma||propofol
wal-zyr (cetirizine hydrochloride)||cetirizine
warfarin (japanese tradename)||warfarin
warfarin (unknown)||warfarin
cefazolin injection||cefazolin
propranolol (propranolol)||propranolol
warfarin (warfarin na (exelan) 5mg tab)||warfarin
cefazolin na||cefazolin
warfarin (warfarin)||warfarin
cefazoline [cefazolin]||cefazolin
propranolol er||propranolol
warfarin (warfarin) (unknown)||warfarin
cefazoline mylan||cefazolin
warfarin (warfarin) (warfarin)||warfarin
cefazoline panpharma||cefazolin
cefcapene pivoxil||cefcapene
warfarin 5 mg||warfarin
cefcapene pivoxil hydrochloride||cefcapene
propranolol hcl||propranolol
propranolol hydrochloride ir||propranolol
cefcapene pivoxil hydrochloride hydrate||cefcapene
warfarin k||warfarin
cefepime dihydrochloride||cefepime
cefepime hcl||cefepime
warfarin sodium (warfarin sodium)||warfarin
flucloxacillin (flucloxacillin)||flucloxacillin
warfarin sodium tablets usp 1mg||warfarin
flucloxacillin sodium||flucloxacillin
cefmetazole na||cefmetazole
warfarin sodium tablets usp 2.5mg||warfarin
fluconazole (fluconazole)||fluconazole
cefmetazole sodium||cefmetazole
fluconazole arrow||fluconazole
warfarin sodium tablets usp 2mg||warfarin
warfarin sodium tablets usp 3mg||warfarin
fluconazole kabi||fluconazole
cefoperazone sodium||cefoperazone
warfarin sodium tablets usp 4mg||warfarin
fluconazole tablets||fluconazole
cefotaxime base||cefotaxime
warfarin sodium tablets usp 5mg||warfarin
fluconazole tablets 150 mg||fluconazole
